date,valor
25/03/2019,19.0151
26/03/2019,19.0989
27/03/2019,19.3201
28/03/2019,19.3793
29/03/2019,19.3779
01/04/2019,19.2169
02/04/2019,19.2279
03/04/2019,19.1805
04/04/2019,19.1728
05/04/2019,19.0805
08/04/2019,18.9701
09/04/2019,18.9229
10/04/2019,18.836
11/04/2019,18.8432
12/04/2019,18.7719
15/04/2019,18.8489
16/04/2019,18.9516
17/04/2019,18.848
22/04/2019,18.8359
23/04/2019,18.9578
24/04/2019,19.0046
25/04/2019,19.0942
26/04/2019,18.9414
29/04/2019,19.012
30/04/2019,19.0099
02/05/2019,19.1014
03/05/2019,19.0012
06/05/2019,18.9781
07/05/2019,19.0499
08/05/2019,19.0837
09/05/2019,19.2623
10/05/2019,19.1374
13/05/2019,19.1928
14/05/2019,19.1427
15/05/2019,19.1236
16/05/2019,19.071
17/05/2019,19.1454
20/05/2019,19.0908
21/05/2019,19.0309
22/05/2019,18.9755
23/05/2019,19.0122
24/05/2019,19.0658
27/05/2019,19.0521
28/05/2019,19.1652
29/05/2019,19.2395
30/05/2019,19.0683
31/05/2019,19.6426
03/06/2019,19.7609
04/06/2019,19.6007
05/06/2019,19.5418
06/06/2019,19.7084
07/06/2019,19.6528
10/06/2019,19.204
11/06/2019,19.1222
12/06/2019,19.1383
13/06/2019,19.1645
14/06/2019,19.1487
17/06/2019,19.1924
18/06/2019,19.1011
19/06/2019,19.1753
20/06/2019,18.9804
21/06/2019,19.0661
24/06/2019,19.1833
25/06/2019,19.2271
26/06/2019,19.1442
27/06/2019,19.1685
28/06/2019,19.2087
01/07/2019,19.076
02/07/2019,19.0694
03/07/2019,19.0502
04/07/2019,18.9947
05/07/2019,19.0446
08/07/2019,18.9116
09/07/2019,19.0043
10/07/2019,19.2425
11/07/2019,19.1227
12/07/2019,19.0307
15/07/2019,18.9803
16/07/2019,19.0781
17/07/2019,19.0233
18/07/2019,19.0108
19/07/2019,19.0123
22/07/2019,19.0659
23/07/2019,19.1315
24/07/2019,19.0894
25/07/2019,19.0623
26/07/2019,19.0699
29/07/2019,19.09
30/07/2019,19.0747
31/07/2019,18.9929
01/08/2019,19.1627
02/08/2019,19.3116
05/08/2019,19.5731
06/08/2019,19.6291
07/08/2019,19.6953
08/08/2019,19.5118
09/08/2019,19.4283
12/08/2019,19.5803
13/08/2019,19.463
14/08/2019,19.5763
15/08/2019,19.6365
16/08/2019,19.5669
19/08/2019,19.8153
20/08/2019,19.7522
21/08/2019,19.6798
22/08/2019,19.7467
23/08/2019,19.8402
26/08/2019,19.9086
27/08/2019,19.9934
28/08/2019,20.0314
29/08/2019,20.0988
30/08/2019,20.0696
02/09/2019,20.1253
03/09/2019,20.0039
04/09/2019,19.7806
05/09/2019,19.6834
06/09/2019,19.5623
09/09/2019,19.5398
10/09/2019,19.5354
11/09/2019,19.5478
12/09/2019,19.4265
13/09/2019,19.3665
17/09/2019,19.4262
18/09/2019,19.3528
19/09/2019,19.3981
20/09/2019,19.4478
23/09/2019,19.4459
24/09/2019,19.4587
25/09/2019,19.5775
26/09/2019,19.6363
27/09/2019,19.6808
30/09/2019,19.7345
01/10/2019,19.7792
02/10/2019,19.7985
03/10/2019,19.7368
04/10/2019,19.5255
07/10/2019,19.5522
08/10/2019,19.584
09/10/2019,19.5689
10/10/2019,19.4764
11/10/2019,19.3217
14/10/2019,19.2652
15/10/2019,19.252
16/10/2019,19.2135
17/10/2019,19.1602
18/10/2019,19.1492
21/10/2019,19.1422
22/10/2019,19.105
23/10/2019,19.1258
24/10/2019,19.0878
25/10/2019,19.082
28/10/2019,19.0543
29/10/2019,19.1167
30/10/2019,19.1643
31/10/2019,19.1948
01/11/2019,19.1058
04/11/2019,19.1525
05/11/2019,19.2125
06/11/2019,19.1953
07/11/2019,19.1327
08/11/2019,19.1068
11/11/2019,19.109
12/11/2019,19.2178
13/11/2019,19.4543
14/11/2019,19.4228
15/11/2019,19.2063
19/11/2019,19.3687
20/11/2019,19.48
21/11/2019,19.4138
22/11/2019,19.3987
25/11/2019,19.4468
26/11/2019,19.5185
27/11/2019,19.5607
28/11/2019,19.6113
29/11/2019,19.5352
02/12/2019,19.5717
03/12/2019,19.5678
04/12/2019,19.4707
05/12/2019,19.3688
06/12/2019,19.3247
09/12/2019,19.2302
10/12/2019,19.2362
11/12/2019,19.1785
13/12/2019,19.0455
16/12/2019,18.9702
17/12/2019,18.9165
18/12/2019,18.9542
19/12/2019,18.964
20/12/2019,18.9133
23/12/2019,18.9385
24/12/2019,18.9643
26/12/2019,18.9445
27/12/2019,18.8452
30/12/2019,18.8727
31/12/2019,18.8642
02/01/2020,18.8817
03/01/2020,18.8673
06/01/2020,18.827
07/01/2020,18.8852
08/01/2020,18.798
09/01/2020,18.8453
10/01/2020,18.7732
13/01/2020,18.8215
14/01/2020,18.812
15/01/2020,18.8077
16/01/2020,18.793
17/01/2020,18.7388
20/01/2020,18.6725
21/01/2020,18.7007
